customer_id,city,subscription_type,age,signup_date,operation,update_ts
4,Delhi,Basic,28,2024-01-29,INSERT,2026-04-06 08:38:00
18,Chennai,Basic,27,2024-05-12,DELETE,2026-04-02 06:56:00
29,Chennai,Premium,47,2024-09-12,DELETE,2026-04-02 06:32:00
28,Mumbai,Premium,49,2024-12-21,INSERT,2026-04-06 15:15:00
18,Delhi,Premium,34,2024-01-02,INSERT,2026-04-01 21:15:00
70,Bangalore,Basic,25,2024-12-01,UPDATE,2026-04-05 11:39:00
12,Hyderabad,Premium,50,2024-05-16,INSERT,2026-04-01 19:08:00
5,Chennai,Basic,44,2024-05-25,UPDATE,2026-04-02 18:45:00
95,Chennai,Basic,22,2024-04-01,INSERT,2026-04-01 09:17:00
70,Bangalore,Basic,37,2024-03-23,INSERT,2026-04-02 05:53:00
18,Chennai,Basic,33,2024-01-01,UPDATE,2026-04-05 13:00:00
78,Bangalore,Basic,43,2024-01-25,UPDATE,2026-04-02 06:48:00
32,Delhi,Basic,44,2024-12-19,INSERT,2026-04-04 23:54:00
76,Delhi,Basic,43,2024-03-14,INSERT,2026-04-01 14:01:00
5,Hyderabad,Premium,50,2024-07-12,UPDATE,2026-04-02 16:25:00
28,Chennai,Premium,41,2024-10-18,INSERT,2026-04-04 00:21:00
12,Delhi,Premium,39,2024-07-17,UPDATE,2026-04-05 12:36:00
36,Hyderabad,Premium,36,2024-02-28,UPDATE,2026-04-01 20:44:00
32,Delhi,Premium,31,2024-12-22,UPDATE,2026-04-04 13:32:00
4,Hyderabad,Premium,38,2024-02-20,DELETE,2026-04-03 05:37:00
95,Chennai,Premium,38,2024-12-04,INSERT,2026-04-02 08:00:00
18,Chennai,Premium,28,2024-12-26,UPDATE,2026-04-06 02:12:00
55,Delhi,Premium,47,2024-12-10,INSERT,2026-04-06 01:23:00
14,Chennai,Premium,46,2024-11-06,INSERT,2026-04-04 18:02:00
26,Bangalore,Basic,30,2024-07-11,UPDATE,2026-04-04 21:01:00
5,Delhi,Premium,22,2024-06-26,UPDATE,2026-04-06 19:03:00
14,Hyderabad,Premium,48,2024-09-02,UPDATE,2026-04-05 18:38:00
5,Mumbai,Premium,22,2024-09-12,INSERT,2026-04-06 14:58:00
29,Mumbai,Premium,50,2024-01-05,INSERT,2026-04-02 10:17:00
