item_id,order_id,product_id,quantity,unit_price,discount_percent
I0001,O0079,P0332,2,13627.76,25
I0002,O0225,P0497,1,32361.84,60
I0003,O0175,P0147,1,48449.94,91
I0004,O0387,P0213,2,28182.76,96
I0005,O0272,P0216,2,20606.86,52
I0006,O0471,P0210,5,40809.52,46
I0007,O0484,P0016,1,19019.64,66
I0008,O0484,P0036,3,31423.75,98
I0009,O0085,P0223,1,19269.05,82
I0010,O0078,P0463,5,42301.19,53
I0011,O0206,P0454,5,66032.94,92
I0012,O0381,P0161,1,34128.41,67
I0013,O0313,P0472,4,57040.53,26
I0014,O0455,P0279,5,11297.91,89
I0015,O0177,P0455,4,1329.58,38
I0016,O0044,P0019,4,7011.71,94
I0017,O0451,P0065,5,8821.53,11
I0018,O0262,P0283,3,18352.12,20
I0019,O0012,P0015,5,58451.62,30
I0020,O0427,P0397,4,66871.95,14
I0021,O0375,P0031,3,54833.84,45
I0022,O0064,P0025,1,39381.57,73
I0023,O0378,P0003,2,65199.62,74
I0024,O0290,P0366,5,45940.32,29
I0025,O0180,P0154,5,43221.25,91
I0026,O0194,P0267,1,4357.53,74
I0027,O0099,P0422,4,9985.22,91
I0028,O0218,P0425,1,39405.26,16
I0029,O0244,P0110,3,919.27,51
I0030,O0302,P0287,4,14441.32,74
I0031,O0256,P0326,4,43944.75,62
I0032,O0375,P0499,2,46599.66,16
I0033,O0249,P0365,5,2691.77,15
I0034,O0356,P0109,1,16576.9,71
I0035,O0190,P0472,5,64288.48,14
I0036,O0062,P0190,1,31436.74,15
I0037,O0191,P0157,3,42522.19,3
I0038,O0406,P0074,5,25487.0,39
I0039,O0456,P0146,4,19844.79,70
I0040,O0179,P0035,4,25928.37,39
I0041,O0290,P0232,4,55004.18,92
I0042,O0427,P0311,2,59965.52,58
I0043,O0390,P0231,2,23449.79,41
I0044,O0046,P0410,5,36265.51,29
I0045,O0461,P0203,1,31940.94,56
I0046,O0377,P0143,2,60137.11,73
I0047,O0323,P0408,3,21322.64,15
I0048,O0330,P0287,5,13124.86,96
I0049,O0028,P0491,2,69506.4,64
I0050,O0460,P0010,5,39669.32,2
I0051,O0141,P0403,5,28224.63,68
I0052,O0311,P0165,1,38110.78,2
I0053,O0175,P0224,1,19406.08,40
I0054,O0196,P0132,1,65407.42,36
I0055,O0074,P0094,1,20194.3,52
