order_id,customer_id,order_date,status,region_code
O0453,C0498,2024-07-15 17:53:59,SHIPPED,West
O0278,C0042,2024-07-16 23:00:40,PLACED,East
O0177,C0166,2024-07-17 02:53:34,DELIVERED,West
O0002,C0405,2024-07-18 19:47:31,RETURNED,North
O0360,C0342,2024-07-21 02:15:42,RETURNED,South
O0072,C0425,2024-07-23 03:11:19,SHIPPED,West
O0092,C0037,2024-07-24 06:20:53,PLACED,West
O0478,C0070,2024-07-25 05:41:42,PLACED,South
O0296,C0143,2024-07-25 14:20:07,SHIPPED,South
O0433,C0061,2024-07-25 17:53:36,CANCELLED,West
O0346,C0295,2024-07-28 08:11:52,PLACED,South
O0486,C0271,2024-07-30 14:06:46,RETURNED,North
O0086,C0453,2024-07-30 21:18:43,RETURNED,South
O0409,C0249,2024-07-31 00:45:45,PLACED,East
O0391,C0087,2024-07-31 18:21:05,CANCELLED,West
O0488,C0224,2024-08-01 04:37:20,SHIPPED,West
O0130,C0365,2024-08-02 00:11:44,RETURNED,East
O0051,C0438,2024-08-03 03:18:03,DELIVERED,North
O0265,C0099,2024-08-05 20:20:12,CANCELLED,North
O0356,C0156,2024-08-09 03:03:58,SHIPPED,South
O0178,C0316,2024-08-09 05:08:34,DELIVERED,West
O0133,C0418,2024-08-10 18:57:11,SHIPPED,South
O0292,C0066,2024-08-12 19:27:10,SHIPPED,North
O0237,C0271,2024-08-13 11:13:51,SHIPPED,South
O0256,C0053,2024-08-15 01:24:11,DELIVERED,West
O0014,C0346,2024-08-16 11:50:45,PLACED,South
O0179,C0409,2024-08-16 22:15:20,SHIPPED,West
O0226,UNKNOWN,2024-08-18 19:26:02,DELIVERED,North
O0108,C0154,2024-08-18 19:43:48,PLACED,East
O0298,C0023,2024-08-21 15:53:03,RETURNED,North
O0323,C0060,2024-08-22 10:16:34,CANCELLED,East
O0443,C0287,2024-08-22 19:52:59,SHIPPED,West
O0147,C0398,2024-08-22 20:52:56,CANCELLED,East
O0149,C0424,2024-08-23 07:41:41,CANCELLED,North
O0120,C0226,2024-08-25 07:14:57,DELIVERED,South
O0190,UNKNOWN,2024-08-25 20:23:08,DELIVERED,West
O0197,C0346,2024-08-31 02:36:18,PLACED,West
O0286,UNKNOWN,2024-09-02 18:18:46,PLACED,West
O0418,C0340,2024-09-04 07:28:28,CANCELLED,East
O0290,C0249,2024-09-04 14:37:03,RETURNED,West
O0306,C0172,2024-09-05 17:29:21,DELIVERED,North
O0267,UNKNOWN,2024-09-06 11:02:39,PLACED,West
O0012,C0306,2024-09-07 05:07:47,CANCELLED,North
O0170,C0314,2024-09-08 02:43:40,RETURNED,North
O0440,C0286,2024-09-09 00:38:44,SHIPPED,West
O0275,C0172,2024-09-13 03:08:40,CANCELLED,South
O0410,C0444,2024-09-14 13:34:01,PLACED,West
O0404,C0467,2024-09-14 21:49:44,CANCELLED,East
O0207,C0197,2024-09-16 11:09:12,RETURNED,West
O0089,C0338,2024-09-17 00:20:31,SHIPPED,South
O0308,C0361,2024-09-17 19:09:53,SHIPPED,South
O0344,C0497,2024-09-17 20:33:11,RETURNED,West
O0378,C0028,2024-09-18 16:53:05,SHIPPED,West
O0269,C0120,2024-09-22 00:05:27,CANCELLED,North
O0071,C0201,2024-09-22 18:31:31,SHIPPED,East
O0354,C0470,2024-09-27 02:59:32,PLACED,West
O0398,C0178,2024-09-27 22:28:12,RETURNED,East
O0048,C0037,2024-09-30 04:38:47,DELIVERED,East
O0471,C0300,2024-10-02 17:04:41,CANCELLED,South
O0222,C0070,2024-10-05 03:44:39,CANCELLED,West
O0429,C0102,2024-10-05 13:50:22,CANCELLED,West
O0054,C0080,2024-10-05 22:35:24,CANCELLED,East
O0121,C0437,2024-10-06 02:50:22,SHIPPED,South
O0337,C0307,2024-10-07 03:58:41,CANCELLED,East
O0010,C0223,2024-10-09 01:04:53,DELIVERED,North
O0281,C0314,2024-10-09 21:35:01,DELIVERED,East
O0301,C0332,2024-10-10 23:19:41,DELIVERED,South
O0470,C0212,2024-10-15 15:39:57,RETURNED,East
O0397,C0297,2024-10-16 20:17:50,PLACED,West
O0244,C0137,2024-10-19 08:02:42,CANCELLED,West
O0247,UNKNOWN,2024-10-19 17:52:21,CANCELLED,East
O0363,C0035,2024-10-20 19:47:51,RETURNED,South
O0423,C0420,2024-10-21 04:35:10,RETURNED,North
O0052,C0204,2024-10-24 02:13:38,CANCELLED,North
O0483,C0005,2024-10-24 21:42:03,CANCELLED,West
O0205,C0408,2024-10-28 10:36:46,PLACED,East
O0090,C0104,2024-10-28 16:25:12,PLACED,West
O0186,C0090,2024-11-02 12:22:23,SHIPPED,North
O0235,C0008,2024-11-02 20:43:58,RETURNED,South
O0272,C0055,2024-11-04 16:50:55,RETURNED,South
O0369,C0253,2024-11-06 12:45:28,RETURNED,East
O0481,C0012,2024-11-07 04:47:45,CANCELLED,West
O0160,C0093,2024-11-08 03:32:19,PLACED,East
O0193,C0344,2024-11-08 08:40:31,DELIVERED,North
O0169,C0069,2024-11-12 08:44:22,CANCELLED,South
O0455,C0349,2024-11-12 13:05:58,PLACED,East
O0357,C0108,2024-11-21 01:36:36,PLACED,North
O0250,C0310,2024-11-21 12:26:11,RETURNED,South
O0435,C0196,2024-11-21 14:27:06,RETURNED,South
O0320,C0291,2024-11-23 09:54:26,DELIVERED,South
O0428,C0448,2024-11-24 08:14:21,RETURNED,East
O0115,C0067,2024-11-26 16:15:29,CANCELLED,West
O0291,C0192,2024-11-27 15:24:50,DELIVERED,East
O0368,C0267,2024-11-27 16:48:01,DELIVERED,North
O0007,C0204,2024-11-29 03:05:02,CANCELLED,South
O0411,C0371,2024-12-01 07:20:32,RETURNED,North
O0195,C0139,2024-12-02 09:03:42,SHIPPED,North
O0152,C0463,2024-12-03 15:37:36,CANCELLED,North
O0351,C0181,2024-12-04 23:13:04,DELIVERED,East
O0414,C0112,2024-12-05 02:38:14,DELIVERED,West
O0326,C0394,2024-12-06 15:25:30,SHIPPED,North
O0139,C0430,2024-12-06 23:49:18,CANCELLED,West
O0164,UNKNOWN,2024-12-09 00:45:11,PLACED,South
O0451,C0058,2024-12-09 03:15:01,SHIPPED,East
O0284,C0058,2024-12-10 16:01:16,SHIPPED,North
