product_id,product_name,category,subcategory,cost_price
P0001,Packt Science,Books,Novel,33977.0
P0002,Apple Monitor,Electronics,Monitor,14278.93
P0003,Nike Jacket,Clothing,Sports,45845.65
P0004,Packt Biography,Books,Science,46906.31
P0005,Packt Mathematics,Books,History,33538.81
P0006,Sony Camera,Electronics,Laptop,9095.12
P0007,Levis Jacket,Clothing,Women,6964.51
P0008,Apple Keyboard,Electronics,Laptop,43832.0
P0009,Levis T-Shirt,Clothing,Women,41584.12
P0010,Levis Sweater,Clothing,Men,33850.51
P0011,Zara Shoes,Clothing,Kids,39211.64
P0012,Adidas T-Shirt,Clothing,Kids,39240.07
P0013,H&M Jacket,Clothing,Sports,23137.83
P0014,OReilly Novel,Books,Education,8186.7
P0015,Adidas T-Shirt,Clothing,Kids,43718.44
P0016,Lenovo Phone,Electronics,Phone,13712.29
P0017,Nike Shoes,Clothing,Women,44243.03
P0018,Samsung Camera,Electronics,Camera,11865.33
P0019,HP Monitor,Electronics,Laptop,5044.25
P0020,Pearson History,Books,Programming,41505.1
P0021,Levis Sweater,Clothing,Winter,45302.29
P0022,HP Keyboard,Electronics,Tablet,36389.02
P0023,Milton Chair,Home,Kitchen,2482.7
P0024,Cello Curtain,Home,Decor,29877.28
P0025,Dell Mouse,Electronics,Mouse,30779.0
P0026,Levis T-Shirt,Clothing,Women,4372.14
P0027,OReilly Programming,Books,Education,49417.74
P0028,LG Camera,Electronics,Laptop,49053.87
P0029,Oxford Biography,Books,History,17305.64
P0030,Dell Monitor,Electronics,Laptop,16993.51
P0031,Levis Sweater,Clothing,Winter,40593.73
P0032,Samsung Speaker,Electronics,Mouse,39576.35
P0033,Lenovo Monitor,Electronics,Camera,27197.23
P0034,Pearson Programming,Books,History,39063.99
P0035,Oxford Science,Books,History,20061.09
P0036,Milton Sofa,Home,Kitchen,24926.42
P0037,Packt Programming,Books,Programming,49755.4
P0038,Puma T-Shirt,Clothing,Kids,16463.2
P0039,Packt Science,Books,Education,8415.57
P0040,Prestige Fan,Home,Furniture,45589.2
P0041,Godrej Fan,Home,Furniture,20369.89
P0042,Adidas Shirt,Clothing,Sports,21964.82
P0043,Adidas Shirt,Clothing,Kids,47478.41
P0044,LG Tablet,Electronics,Monitor,38177.92
P0045,Puma T-Shirt,Clothing,Winter,14006.62
P0046,Dell Laptop,Electronics,Speaker,45685.77
P0047,Lenovo Keyboard,Electronics,Speaker,30632.67
P0048,Godrej Table,Home,Kitchen,22656.93
P0049,Milton Chair,Home,Lighting,27544.86
P0050,Pearson Science,Books,Science,25486.91
P0051,Dell Mouse,Electronics,Keyboard,1411.57
P0052,OReilly Novel,Books,Science,4402.15
P0053,Packt Novel,Books,Education,20530.73
P0054,Sony Tablet,Electronics,Phone,34037.44
P0055,OReilly History,Books,Education,48316.6
P0056,Godrej Lamp,Home,Furniture,15275.81
P0057,H&M Jacket,Clothing,Women,47051.11
P0058,McGraw Programming,Books,Science,27586.99
P0059,Puma Sweater,Clothing,Sports,25178.4
P0060,Zara T-Shirt,Clothing,Women,31261.51
P0061,Oxford Mathematics,Books,Programming,13306.33
P0062,Levis T-Shirt,Clothing,Sports,24952.1
P0063,McGraw Biography,Books,Novel,40386.73
P0064,Prestige Fan,Home,Furniture,7988.21
P0065,Prestige Sofa,Home,Kitchen,7269.07
P0066,McGraw Biography,Books,Novel,18589.96
P0067,HP Monitor,Electronics,Speaker,22534.84
P0068,Nike Shirt,Clothing,Kids,43221.78
P0069,Ikea Table,Home,Lighting,36084.31
P0070,Levis Jeans,Clothing,Sports,43965.88
P0071,Godrej Chair,Home,Decor,48337.66
P0072,Puma T-Shirt,Clothing,Men,29916.19
P0073,Cello Fan,Home,Furniture,21603.3
P0074,McGraw Biography,Books,Novel,20089.02
P0075,Zara Jacket,Clothing,Kids,22572.68
P0076,OReilly Mathematics,Books,Programming,4924.41
P0077,OReilly Science,Books,History,10032.99
P0078,   Godrej Lamp   ,Home,Furniture,40217.9
P0079,Cello Table,Home,Appliances,46575.3
P0080,Packt History,Books,Education,15031.79
P0081,OReilly Mathematics,Books,Education,28189.92
P0082,Milton Chair,Home,Lighting,48996.91
P0083,Oxford Biography,Books,Education,48356.83
P0084,Nike Sweater,Clothing,Sports,26259.19
P0085,Ikea Table,Home,Furniture,35055.99
P0086,Levis Shirt,Clothing,Kids,20706.71
P0087,Zara Shoes,Clothing,Sports,43653.6
P0088,HP Tablet,Electronics,Monitor,23970.71
P0089,Ikea Fan,Home,Decor,17182.12
P0090,McGraw Biography,Books,Education,47871.14
P0091,McGraw Mathematics,Books,Science,49114.79
P0092,Pearson Biography,Books,Novel,17505.28
P0093,Oxford Science,Books,Education,19046.74
P0094,IKEA FAN,Home,Lighting,17383.54
P0095,Milton Curtain,Home,Decor,41414.79
P0096,McGraw Mathematics,Books,Science,37070.46
P0097,Nike Jeans,Clothing,Sports,11718.54
P0098,Sony Camera,Electronics,Speaker,38561.23
P0099,Boat Tablet,Electronics,Speaker,10052.85
P0100,McGraw Science,Books,Programming,4564.09
P0101,H&M T-Shirt,Clothing,Men,8835.73
P0102,Levis Shirt,Clothing,Winter,37475.26
P0103,Oxford Programming,Books,History,5454.3
P0104,Packt Science,Books,Education,44474.07
P0105,Levis T-Shirt,Clothing,Kids,5721.07
P0106,Levis Sweater,Clothing,Kids,802.8
P0107,OReilly Science,Books,Science,42821.71
P0108,CELLO SOFA,Home,Lighting,9320.58
P0109,Puma Shoes,Clothing,Women,11852.51
P0110,McGraw Science,Books,Education,670.64
P0111,Pearson Biography,Books,Programming,23323.21
P0112,H&M Shoes,Clothing,Sports,44401.29
P0113,Oxford Biography,Books,History,11120.38
P0114,Adidas Shoes,Clothing,Winter,30326.37
P0115,Cello Curtain,Home,Decor,40119.55
P0116,H&M Jeans,Clothing,Sports,4185.33
P0117,Milton Lamp,Home,Furniture,5699.22
P0118,Zara T-Shirt,Clothing,Women,42738.85
P0119,Ikea Chair,Home,Appliances,44954.58
P0120,Prestige Chair,Home,Kitchen,22894.24
P0121,Lenovo Speaker,Electronics,Laptop,40841.02
P0122,Nike T-Shirt,Clothing,Men,35049.21
P0123,LG Phone,Electronics,Laptop,9081.07
P0124,H&M Sweater,Clothing,Winter,44577.55
P0125,Prestige Sofa,Home,Furniture,33123.45
P0126,Puma Sweater,Clothing,Men,26909.2
P0127,Adidas Sweater,Clothing,Men,48926.69
P0128,Cello Curtain,Home,Decor,41185.69
P0129,Puma Shoes,Clothing,Women,46876.78
P0130,Boat Laptop,Electronics,Laptop,3457.82
P0131,Samsung Speaker,Electronics,Keyboard,20173.04
P0132,Adidas T-Shirt,Clothing,Men,49674.82
P0133,Zara Sweater,Clothing,Kids,38649.66
P0134,McGraw History,Books,Science,26110.43
P0135,Milton Fan,Home,Furniture,29624.19
P0136,H&M Sweater,Clothing,Winter,2439.52
P0137,Packt Biography,Books,Education,20874.6
P0138,Levis Jacket,Clothing,Women,23728.59
P0139,H&M Jacket,Clothing,Women,45745.58
P0140,Cello Sofa,Home,Appliances,12218.64
P0141,H&M Jacket,Clothing,Men,42371.96
P0142,Samsung Mouse,Electronics,Mouse,30287.98
P0143,HP Phone,Electronics,Keyboard,43486.75
P0144,Oxford Science,Books,Science,48107.67
P0145,HP Speaker,Electronics,Keyboard,12042.61
P0146,Packt Science,Books,Novel,18027.05
P0147,OReilly Science,Books,Novel,40160.55
P0148,Ikea Fan,Home,Lighting,2381.2
P0149,Adidas Sweater,Clothing,Men,46744.44
P0150,Ikea Fan,Home,Kitchen,19054.0
P0151,Zara Shoes,Clothing,Kids,41097.44
P0152,Ikea Sofa,Home,Lighting,36043.65
P0153,Cello Table,Home,Furniture,41969.52
P0154,Samsung Laptop,Electronics,Camera,31572.01
P0155,Samsung Tablet,Electronics,Keyboard,18722.71
P0156,Prestige Curtain,Home,Furniture,20625.79
P0157,Lenovo Keyboard,Electronics,Laptop,34923.17
P0158,Godrej Table,Home,Furniture,12124.34
P0159,Mcgraw Science,Books,Novel,23003.99
P0160,Adidas Sweater,Clothing,Kids,42408.57
P0161,Boat Phone,Electronics,Camera,23852.65
P0162,Apple Tablet,Electronics,Speaker,32280.87
P0163,Oxford Mathematics,Books,Education,11565.35
P0164,Godrej Fan,Home,Furniture,14090.61
P0165,Sony Tablet,Electronics,Laptop,29393.1
P0166,Milton Chair,Home,Kitchen,28378.13
P0167,Cello Curtain,Home,Lighting,37013.28
P0168,Samsung Monitor,Electronics,Phone,41949.87
P0169,OReilly Mathematics,Books,Education,38700.39
P0170,LG Keyboard,Electronics,Speaker,27696.58
P0171,Ikea Sofa,Home,Appliances,4376.14
P0172,Oxford History,Books,Programming,19062.0
P0173,Levis Sweater,Clothing,Kids,4666.87
P0174,McGraw Novel,Books,History,4456.13
P0175,Cello Sofa,Home,Appliances,5254.32
P0176,Apple Monitor,Electronics,Monitor,715.8
P0177,Godrej Sofa,Home,Appliances,48910.84
