region_code,order_date,daily_revenue,running_total
East,2024-08-02,98623.59,98623.59
East,2024-08-04,53918.59,152542.18
East,2024-08-20,-58107.97,94434.21
East,2024-09-24,217940.53,312374.74
East,2024-09-30,139851.19,452225.93
East,2024-10-02,154724.03,606949.96
East,2024-10-12,223862.93,830812.89
East,2024-10-17,63939.19,894752.08
East,2024-11-08,-52865.0,841887.08
East,2024-11-10,188816.48,1030703.56
East,2024-11-14,6213.85,1036917.41
East,2024-11-26,156086.78,1193004.19
East,2024-11-29,198527.62,1391531.81
East,2024-12-07,90083.89,1481615.7
East,2024-12-11,105661.2,1587276.9
East,2024-12-16,58692.19,1645969.09
East,2025-01-01,253234.91,1899204.0
East,2025-01-07,17193.01,1916397.01
East,2025-01-18,5700.81,1922097.82
East,2025-01-26,107283.74,2029381.56
East,2025-02-06,72216.36,2101597.92
East,2025-02-27,174198.08,2275796.0
East,2025-03-12,28517.68,2304313.68
East,2025-03-17,59083.28,2363396.96
East,2025-04-04,100860.47,2464257.43
East,2025-04-07,278913.67,2743171.1
East,2025-04-08,17171.79,2760342.89
East,2025-04-23,94079.97,2854422.86
East,2025-05-03,349645.17,3204068.03
East,2025-05-05,122017.19,3326085.22
East,2025-05-10,56898.29,3382983.51
East,2025-06-06,22717.9,3405701.41
East,2025-07-11,320632.12,3726333.53
East,2025-08-01,75308.62,3801642.15
East,2025-08-03,292497.55,4094139.7
East,2025-08-10,76725.07,4170864.77
East,2025-08-14,38255.86,4209120.63
East,2025-08-19,163705.27,4372825.9
East,2025-09-13,241925.78,4614751.68
East,2025-09-14,206395.04,4821146.72
East,2025-09-20,122533.89,4943680.61
East,2025-09-23,149796.31,5093476.92
East,2025-09-26,338653.84,5432130.76
East,2025-10-09,11263.77,5443394.53
East,2025-10-25,124548.76,5567943.29
East,2025-11-11,20548.26,5588491.55
East,2025-11-13,9382.9,5597874.45
East,2025-12-05,251056.55,5848931.0
East,2025-12-28,13965.49,5862896.49
East,2025-12-29,123739.57,5986636.06
East,2026-01-16,11010.43,5997646.49
East,2026-01-18,105030.25,6102676.74
East,2026-02-01,133402.17,6236078.91
