category,product_id,product_name,total_revenue,rank_in_category
Books,P0333,Packt Programming,402657.6,1
Books,P0358,Mcgraw Biography,318793.13,2
Books,P0349,Oreilly Biography,241562.32,3
Books,P0361,Oreilly Mathematics,230900.99,4
Books,P0034,Pearson Programming,207249.81,5
Books,P0058,Mcgraw Programming,206172.92,6
Books,P0425,Pearson Novel,201605.09,7
Books,P0001,Packt Science,197082.46,8
Books,P0144,Oxford Science,196140.38,9
Books,P0037,Packt Programming,189088.65,10
Books,P0409,Oxford Science,188778.28,11
Books,P0486,Oxford Mathematics,154811.62,12
Books,P0420,Packt Programming,151162.2,13
Books,P0321,Oreilly Mathematics,150741.93,14
Books,P0063,Mcgraw Biography,137224.71,15
Books,P0329,Packt History,133792.68,16
Books,P0328,Oreilly Programming,128977.93,17
Books,P0066,Mcgraw Biography,115174.37,18
Books,P0297,Packt Programming,114867.68,19
Books,P0435,Oxford Biography,109989.53,20
Books,P0005,Packt Mathematics,109832.95,21
Books,P0481,Mcgraw Biography,109255.62,22
Books,P0111,Pearson Biography,104291.86,23
Books,P0426,Oreilly Biography,103141.55,24
Books,P0381,Oxford History,100233.82,25
Books,P0053,Packt Novel,96724.41,26
Books,P0081,Oreilly Mathematics,91473.25,27
Books,P0454,Oxford Mathematics,89962.42,28
Books,P0074,Mcgraw Biography,87006.91,29
Books,P0146,Packt Science,84944.45,30
Books,P0382,Pearson Novel,77078.76,31
Books,P0200,Oxford Biography,76480.62,32
Books,P0295,Oreilly Novel,75089.43,33
Books,P0449,Oreilly Mathematics,73132.99,34
Books,P0169,Oreilly Mathematics,67814.18,35
Books,P0159,Mcgraw Science,67086.35,36
Books,P0134,Mcgraw History,64960.23,37
Books,P0463,Oxford History,63745.35,38
Books,P0035,Oxford Science,63265.22,39
Books,P0232,Oreilly Science,55711.3,40
Books,P0092,Pearson Biography,55234.59,41
Books,P0093,Oxford Science,53137.69,42
Books,P0206,Packt Biography,52976.13,43
Books,P0436,Oxford Mathematics,49884.12,44
Books,P0185,Packt Biography,48389.99,45
Books,P0222,Oreilly Biography,48332.84,46
Books,P0183,Oreilly Novel,47808.77,47
Books,P0385,Oxford Biography,47768.49,48
Books,P0090,Mcgraw Biography,45159.05,49
Books,P0346,Packt Biography,43891.78,50
Books,P0260,Oxford Biography,43663.51,51
Books,P0100,Mcgraw Science,43032.13,52
Books,P0309,Oreilly History,42725.05,53
Books,P0186,Mcgraw Novel,41741.17,54
Books,P0270,Packt Mathematics,41676.01,55
Books,P0137,Packt Biography,40498.84,56
Books,P0398,Oxford Biography,38707.92,57
Books,P0096,Mcgraw Mathematics,38302.08,58
Books,P0020,Pearson History,37456.06,59
Books,P0475,Packt History,37141.02,60
Books,P0305,Oxford Programming,36772.65,61
Books,P0370,Mcgraw Novel,35234.73,62
Books,P0039,Packt Science,33004.45,63
Books,P0163,Oxford Mathematics,29796.9,64
Books,P0050,Pearson Science,28660.65,65
Books,P0080,Packt History,28113.75,66
Books,P0301,Oxford Mathematics,27800.56,67
Books,P0429,Oxford Biography,26448.16,68
Books,P0296,Mcgraw Novel,23822.44,69
Books,P0061,Oxford Mathematics,23072.52,70
Books,P0365,Packt Science,20144.06,71
Books,P0462,Packt History,19998.13,72
Books,P0395,Oxford Novel,18259.25,73
Books,P0083,Oxford Biography,17162.97,74
Books,P0345,Packt Science,16785.33,75
Books,P0174,Mcgraw Novel,10231.16,76
Books,P0076,Oreilly Mathematics,7838.02,77
Books,P0417,Oreilly Mathematics,5955.89,78
Books,P0233,Oxford Biography,5265.87,79
Books,P0218,Mcgraw Mathematics,5206.18,80
Books,P0147,Oreilly Science,4360.49,81
Books,P0292,Packt Novel,3558.06,82
Books,P0460,Oreilly Programming,1927.04,83
Books,P0110,Mcgraw Science,1253.52,84
Books,P0259,Oreilly Mathematics,834.91,85
Books,P0324,Mcgraw Biography,696.41,86
Books,P0077,Oreilly Science,-30160.55,87
Clothing,P0201,Adidas T-Shirt,848195.39,1
Clothing,P0072,Puma T-Shirt,533450.58,2
Clothing,P0472,H&M Jacket,502223.53,3
Clothing,P0254,Nike Jacket,489344.65,4
Clothing,P0003,Nike Jacket,452783.06,5
Clothing,P0043,Adidas Shirt,363939.86,6
Clothing,P0300,Adidas Jeans,305522.31,7
Clothing,P0188,Puma Shoes,257425.74,8
Clothing,P0112,H&M Shoes,256436.0,9
Clothing,P0021,Levis Sweater,250730.25,10
Clothing,P0249,Levis Shoes,250079.2,11
Clothing,P0126,Puma Sweater,242720.97,12
Clothing,P0255,Puma T-Shirt,235534.04,13
Clothing,P0220,Nike Jacket,232042.71,14
Clothing,P0320,Nike Sweater,231043.9,15
Clothing,P0335,Adidas Jeans,229848.43,16
Clothing,P0403,Levis Shoes,228124.91,17
Clothing,P0377,Levis T-Shirt,215806.51,18
Clothing,P0015,Adidas T-Shirt,212278.35,19
Clothing,P0141,H&M Jacket,200474.0,20
Clothing,P0129,Puma Shoes,200399.28,21
Clothing,P0405,Puma Sweater,200162.39,22
Clothing,P0010,Levis Sweater,194379.67,23
Clothing,P0304,Puma Jeans,192218.23,24
Clothing,P0419,Levis Shirt,189467.71,25
Clothing,P0248,Levis Sweater,187981.68,26
Clothing,P0084,Nike Sweater,186936.79,27
Clothing,P0366,H&M Jacket,183938.53,28
Clothing,P0274,Puma Sweater,182346.64,29
Clothing,P0428,H&M Sweater,178879.66,30
Clothing,P0401,Levis Shirt,167379.24,31
Clothing,P0443,Nike T-Shirt,160676.06,32
Clothing,P0216,Nike Jacket,157004.59,33
Clothing,P0122,Nike T-Shirt,148459.67,34
Clothing,P0284,Levis Shirt,146985.76,35
Clothing,P0042,Adidas Shirt,139659.4,36
Clothing,P0195,Puma Shoes,136444.11,37
Clothing,P0496,Zara Shoes,135204.57,38
Clothing,P0038,Puma T-Shirt,124795.33,39
Clothing,P0239,H&M T-Shirt,124548.76,40
Clothing,P0383,Levis Jeans,124301.34,41
Clothing,P0376,Adidas T-Shirt,120010.16,42
Clothing,P0190,Levis Sweater,115092.21,43
Clothing,P0017,Nike Shoes,115066.79,44
Clothing,P0127,Adidas Sweater,108807.29,45
Clothing,P0373,Levis Jacket,106539.97,46
Clothing,P0075,Zara Jacket,105273.65,47
Clothing,P0086,Levis Shirt,96266.81,48
Clothing,P0045,Puma T-Shirt,93582.08,49
Clothing,P0271,Nike Jeans,87768.2,50
Clothing,P0384,H&M Jeans,82875.15,51
Clothing,P0490,Adidas Jacket,81819.91,52
Clothing,P0060,Zara T-Shirt,80475.33,53
Clothing,P0286,Adidas Jeans,78999.89,54
Clothing,P0243,Puma Shoes,77364.39,55
Clothing,P0202,H&M Shoes,76725.07,56
Clothing,P0447,H&M Shirt,73006.88,57
Clothing,P0184,Puma Shoes,70947.28,58
Clothing,P0294,Zara Sweater,65420.94,59
Clothing,P0151,Zara Shoes,64643.42,60
Clothing,P0465,Zara Sweater,62456.08,61
Clothing,P0149,Adidas Sweater,59680.79,62
Clothing,P0009,Levis T-Shirt,59041.22,63
Clothing,P0438,Levis Jacket,58529.29,64
Clothing,P0102,Levis Shirt,57743.15,65
Clothing,P0483,Levis T-Shirt,53958.42,66
Clothing,P0323,H&M Shoes,52548.63,67
Clothing,P0434,H&M Sweater,52116.43,68
Clothing,P0312,Zara Sweater,49810.02,69
Clothing,P0132,Adidas T-Shirt,45245.91,70
Clothing,P0283,Levis Jacket,44045.09,71
Clothing,P0489,Zara Sweater,39134.43,72
Clothing,P0227,Levis Sweater,37846.03,73
Clothing,P0374,H&M Jacket,35963.65,74
Clothing,P0105,Levis T-Shirt,35290.87,75
Clothing,P0466,Puma Shirt,34466.32,76
Clothing,P0116,H&M Jeans,34458.55,77
Clothing,P0007,Levis Jacket,34446.47,78
Clothing,P0139,H&M Jacket,34294.94,79
Clothing,P0114,Adidas Shoes,34174.98,80
Clothing,P0368,Nike Jacket,33433.82,81
Clothing,P0101,H&M T-Shirt,31848.7,82
Clothing,P0432,Adidas Jacket,29287.26,83
Clothing,P0235,Puma Sweater,27851.27,84
Clothing,P0330,Zara Jacket,27360.45,85
Clothing,P0355,H&M Jeans,27065.2,86
Clothing,P0097,Nike Jeans,25532.52,87
Clothing,P0380,H&M Jeans,25074.53,88
Clothing,P0193,H&M Sweater,24063.47,89
Clothing,P0138,Levis Jacket,23412.86,90
Clothing,P0196,Nike Jacket,22256.51,91
Clothing,P0223,Nike Jeans,20404.65,92
Clothing,P0369,Puma Sweater,20393.09,93
Clothing,P0279,Zara Jeans,20179.35,94
Clothing,P0416,Puma Shirt,20139.68,95
Clothing,P0418,Adidas Shoes,18891.49,96
Clothing,P0173,Levis Sweater,18528.75,97
Clothing,P0258,Nike Shirt,18451.57,98
Clothing,P0389,Nike Shoes,16789.24,99
Clothing,P0062,Levis T-Shirt,16725.04,100
Clothing,P0226,Adidas Sweater,15172.64,101
Clothing,P0136,H&M Sweater,14310.44,102
Clothing,P0450,Zara Jacket,13378.34,103
Clothing,P0237,Levis Shirt,13338.47,104
Clothing,P0026,Levis T-Shirt,12717.09,105
Clothing,P0224,H&M Jacket,11643.65,106
Clothing,P0234,Levis Shoes,11179.49,107
Clothing,P0210,Levis T-Shirt,10105.66,108
Clothing,P0318,Levis Jeans,7818.2,109
Clothing,P0198,Levis T-Shirt,6788.01,110
Clothing,P0109,Puma Shoes,6220.06,111
Clothing,P0012,Adidas T-Shirt,5501.35,112
Clothing,P0242,H&M Sweater,4001.5,113
Clothing,P0485,Zara Shirt,3981.8,114
Clothing,P0281,Puma Shoes,3336.39,115
Clothing,P0011,Zara Shoes,3058.51,116
Clothing,P0013,H&M Jacket,2576.42,117
Clothing,P0477,H&M Sweater,2391.62,118
Clothing,P0298,Nike Jeans,1929.45,119
Clothing,P0209,Nike Jacket,1524.88,120
Clothing,P0059,Puma Sweater,1391.79,121
Clothing,P0439,Zara Sweater,990.23,122
Clothing,P0391,H&M Jacket,708.4,123
Clothing,P0214,Zara Shoes,-2035.64,124
Clothing,P0087,Zara Shoes,-14675.91,125
Clothing,P0277,Puma Jeans,-62766.12,126
Electronics,P0337,Boat Phone,748923.38,1
Electronics,P0143,Hp Phone,423067.93,2
Electronics,P0230,Lg Phone,349745.35,3
Electronics,P0098,Sony Camera,333867.32,4
Electronics,P0390,Lg Phone,284698.08,5
Electronics,P0495,Hp Laptop,277866.16,6
Electronics,P0457,Lenovo Keyboard,253234.91,7
Electronics,P0225,Boat Tablet,226595.6,8
Electronics,P0331,Sony Phone,218095.62,9
Electronics,P0032,Samsung Speaker,203469.91,10
Electronics,P0393,Lg Phone,195027.16,11
Electronics,P0394,Lenovo Phone,181189.44,12
Electronics,P0491,Apple Keyboard,167672.99,13
Electronics,P0165,Sony Tablet,165090.62,14
Electronics,P0205,Dell Phone,161962.44,15
Electronics,P0157,Lenovo Keyboard,158787.48,16
Electronics,P0364,Sony Camera,155508.56,17
Electronics,P0025,Dell Mouse,152932.4,18
Electronics,P0161,Boat Phone,136892.27,19
Electronics,P0406,Hp Camera,131697.14,20
Electronics,P0257,Samsung Speaker,129796.21,21
Electronics,P0155,Samsung Tablet,117805.62,22
Electronics,P0404,Sony Keyboard,114564.75,23
Electronics,P0088,Hp Tablet,111365.05,24
Electronics,P0154,Samsung Laptop,105811.35,25
Electronics,P0250,Sony Laptop,104705.99,26
Electronics,P0182,Sony Camera,100090.26,27
Electronics,P0448,Lenovo Camera,95074.95,28
Electronics,P0033,Lenovo Monitor,94272.32,29
Electronics,P0067,Hp Monitor,93515.49,30
Electronics,P0265,Hp Camera,92809.32,31
Electronics,P0008,Apple Keyboard,88753.32,32
Electronics,P0473,Hp Camera,88136.31,33
Electronics,P0433,Hp Keyboard,85091.79,34
Electronics,P0006,Sony Camera,83092.11,35
Electronics,P0142,Samsung Mouse,82831.5,36
Electronics,P0221,Apple Speaker,81135.98,37
Electronics,P0347,Lg Mouse,78005.09,38
Electronics,P0414,Lg Mouse,76515.13,39
Electronics,P0272,Samsung Monitor,74982.67,40
Electronics,P0022,Hp Keyboard,73899.34,41
Electronics,P0471,Apple Tablet,73708.1,42
Electronics,P0498,Boat Camera,68857.19,43
Electronics,P0002,Apple Monitor,66842.62,44
Electronics,P0030,Dell Monitor,65393.98,45
Electronics,P0287,Apple Keyboard,63657.26,46
Electronics,P0452,Boat Mouse,60398.5,47
Electronics,P0162,Apple Tablet,58547.16,48
Electronics,P0411,Lg Speaker,55172.54,49
Electronics,P0204,Hp Mouse,50955.83,50
Electronics,P0099,Boat Tablet,45762.76,51
Electronics,P0121,Lenovo Speaker,45757.74,52
Electronics,P0314,Lg Monitor,44252.42,53
Electronics,P0229,Lenovo Camera,43280.06,54
Electronics,P0327,Apple Speaker,42309.75,55
Electronics,P0332,Boat Camera,41640.16,56
Electronics,P0350,Hp Tablet,40247.12,57
Electronics,P0054,Sony Tablet,39519.12,58
Electronics,P0386,Apple Laptop,38220.91,59
Electronics,P0476,Dell Mouse,37433.05,60
Electronics,P0371,Samsung Speaker,37381.3,61
Electronics,P0047,Lenovo Keyboard,36553.98,62
Electronics,P0307,Lenovo Monitor,36208.24,63
Electronics,P0372,Lenovo Camera,34615.02,64
Electronics,P0442,Lg Keyboard,33456.96,65
Electronics,P0016,Lenovo Phone,31816.19,66
Electronics,P0253,Lenovo Camera,31472.38,67
Electronics,P0046,Dell Laptop,31377.7,68
Electronics,P0264,Sony Speaker,29038.7,69
Electronics,P0487,Lg Speaker,24353.3,70
Electronics,P0018,Samsung Camera,21597.01,71
Electronics,P0451,Hp Phone,20816.34,72
Electronics,P0289,Boat Tablet,20530.63,73
Electronics,P0019,Hp Monitor,17617.25,74
Electronics,P0028,Lg Camera,17036.32,75
Electronics,P0456,Apple Laptop,16318.67,76
Electronics,P0422,Lg Camera,15805.84,77
Electronics,P0431,Samsung Phone,15275.62,78
Electronics,P0123,Lg Phone,11405.7,79
Electronics,P0170,Lg Keyboard,11368.57,80
Electronics,P0267,Hp Tablet,9674.62,81
Electronics,P0379,Hp Monitor,9527.71,82
Electronics,P0130,Boat Laptop,9449.54,83
Electronics,P0168,Samsung Monitor,9019.16,84
Electronics,P0315,Lenovo Monitor,8365.76,85
Electronics,P0241,Sony Phone,5507.01,86
Electronics,P0276,Boat Tablet,4160.0,87
Electronics,P0051,Dell Mouse,4037.4,88
Electronics,P0421,Lg Speaker,2515.34,89
Electronics,P0273,Hp Mouse,2013.88,90
Electronics,P0245,Sony Camera,1185.36,91
Electronics,P0263,Samsung Mouse,1162.48,92
Electronics,P0176,Apple Monitor,602.15,93
Electronics,P0252,Apple Laptop,447.19,94
Electronics,P0388,Boat Keyboard,-36922.8,95
Electronics,P0497,Lg Phone,-45182.23,96
Electronics,P0480,Sony Laptop,-115467.91,97
Home,P0410,Godrej Table,437661.36,1
Home,P0040,Prestige Fan,406948.45,2
Home,P0152,Ikea Sofa,349701.73,3
Home,P0069,Ikea Table,334538.45,4
Home,P0115,Cello Curtain,305503.32,5
Home,P0211,Prestige Table,293065.31,6
Home,P0400,Ikea Sofa,286018.9,7
Home,P0153,Cello Table,283923.21,8
Home,P0119,Ikea Chair,280851.91,9
Home,P0326,Godrej Table,266127.85,10
Home,P0430,Cello Curtain,244935.22,11
Home,P0351,Milton Chair,210318.87,12
Home,P0095,Milton Curtain,198970.72,13
Home,P0135,Milton Fan,194369.01,14
Home,P0288,Godrej Table,187298.68,15
Home,P0344,Milton Fan,183601.84,16
Home,P0338,Cello Chair,179606.48,17
Home,P0036,Milton Sofa,177831.05,18
Home,P0424,Cello Sofa,177110.47,19
Home,P0071,Godrej Chair,173299.11,20
Home,P0317,Cello Fan,172677.61,21
Home,P0082,Milton Chair,142290.06,22
Home,P0488,Ikea Chair,141233.94,23
Home,P0461,Cello Lamp,140815.45,24
Home,P0041,Godrej Fan,136944.85,25
Home,P0217,Prestige Lamp,135548.04,26
Home,P0089,Ikea Fan,134428.1,27
