customer_id,order_date,previous_order_date,days_gap,average_gap,customer_risk
C0001,2026-04-16,,,,Active
C0004,2025-03-20,,,,Active
C0005,2024-10-27,,,,Active
C0007,2026-06-22,,,,Active
C0008,2024-11-05,,,390.0,At Risk
C0008,2025-11-30,2024-11-05,390.0,390.0,At Risk
C0010,2024-12-15,,,,Active
C0011,2026-06-18,,,,Active
C0012,2024-11-09,,,293.5,At Risk
C0012,2025-06-17,2024-11-09,220.0,293.5,At Risk
C0012,2026-06-19,2025-06-17,367.0,293.5,At Risk
C0013,2025-05-21,,,182.0,At Risk
C0013,2025-11-19,2025-05-21,182.0,182.0,At Risk
C0014,2026-04-01,,,,Active
C0015,2025-04-03,,,,Active
C0017,2025-01-10,,,333.0,At Risk
C0017,2025-12-09,2025-01-10,333.0,333.0,At Risk
C0019,2025-10-26,,,,Active
C0021,2025-08-10,,,,Active
C0022,2025-06-04,,,193.0,At Risk
C0022,2025-12-14,2025-06-04,193.0,193.0,At Risk
C0023,2024-08-23,,,631.0,At Risk
C0023,2026-05-16,2024-08-23,631.0,631.0,At Risk
C0025,2025-05-13,,,355.0,At Risk
C0025,2026-05-03,2025-05-13,355.0,355.0,At Risk
C0026,2025-05-23,,,247.0,At Risk
C0026,2026-01-25,2025-05-23,247.0,247.0,At Risk
C0028,2024-09-20,,,,Active
C0030,2026-04-05,,,,Active
C0032,2025-07-17,,,,Active
C0033,2025-07-29,,,293.0,At Risk
C0033,2026-05-18,2025-07-29,293.0,293.0,At Risk
C0034,2025-11-11,,,,Active
C0035,2024-10-22,,,291.0,At Risk
C0035,2025-08-09,2024-10-22,291.0,291.0,At Risk
C0036,2025-11-12,,,16.0,Active
C0036,2025-11-28,2025-11-12,16.0,16.0,Active
C0037,2024-07-26,,,113.5,At Risk
C0037,2024-10-02,2024-07-26,68.0,113.5,At Risk
C0037,2025-03-10,2024-10-02,159.0,113.5,At Risk
C0040,2025-04-23,,,444.0,At Risk
C0040,2026-07-11,2025-04-23,444.0,444.0,At Risk
C0041,2025-12-31,,,,Active
C0042,2024-07-19,,,248.5,At Risk
C0042,2025-10-27,2024-07-19,465.0,248.5,At Risk
C0042,2025-11-28,2025-10-27,32.0,248.5,At Risk
C0047,2025-03-26,,,,Active
C0050,2025-07-24,,,79.0,At Risk
C0050,2025-10-11,2025-07-24,79.0,79.0,At Risk
C0051,2025-02-17,,,,Active
C0053,2024-08-17,,,249.5,At Risk
C0053,2025-01-01,2024-08-17,137.0,249.5,At Risk
C0053,2025-12-29,2025-01-01,362.0,249.5,At Risk
C0055,2024-11-06,,,228.0,At Risk
C0055,2025-09-30,2024-11-06,328.0,228.0,At Risk
C0055,2026-02-05,2025-09-30,128.0,228.0,At Risk
C0057,2026-04-26,,,,Active
C0058,2024-12-11,,,187.33,At Risk
C0058,2024-12-12,2024-12-11,1.0,187.33,At Risk
C0058,2025-01-13,2024-12-12,32.0,187.33,At Risk
C0058,2026-06-26,2025-01-13,529.0,187.33,At Risk
C0060,2024-08-24,,,139.0,At Risk
C0060,2025-05-24,2024-08-24,273.0,139.0,At Risk
C0060,2025-05-29,2025-05-24,5.0,139.0,At Risk
C0061,2024-07-27,,,378.0,At Risk
C0061,2025-08-09,2024-07-27,378.0,378.0,At Risk
C0066,2024-08-14,,,,Active
C0067,2024-11-28,,,,Active
C0068,2025-02-10,,,,Active
C0069,2024-11-14,,,195.0,At Risk
C0069,2025-05-28,2024-11-14,195.0,195.0,At Risk
C0070,2024-07-27,,,72.0,At Risk
C0070,2024-10-07,2024-07-27,72.0,72.0,At Risk
C0072,2026-02-28,,,,Active
C0077,2025-01-25,,,,Active
C0078,2026-06-14,,,,Active
C0079,2026-04-01,,,,Active
C0080,2024-10-08,,,293.0,At Risk
C0080,2025-07-28,2024-10-08,293.0,293.0,At Risk
C0081,2025-05-08,,,,Active
C0082,2025-01-07,,,,Active
C0084,2025-01-26,,,,Active
C0086,2025-01-13,,,,Active
C0087,2024-08-02,,,500.0,At Risk
C0087,2025-12-15,2024-08-02,500.0,500.0,At Risk
C0090,2024-11-04,,,,Active
C0092,2024-12-25,,,564.0,At Risk
C0092,2026-07-12,2024-12-25,564.0,564.0,At Risk
C0093,2024-11-10,,,252.0,At Risk
C0093,2025-05-29,2024-11-10,200.0,252.0,At Risk
C0093,2026-03-29,2025-05-29,304.0,252.0,At Risk
C0095,2025-10-06,,,195.0,At Risk
C0095,2026-04-19,2025-10-06,195.0,195.0,At Risk
C0096,2026-01-20,,,,Active
C0099,2024-08-07,,,,Active
C0100,2025-10-21,,,,Active
C0101,2026-02-08,,,,Active
C0102,2024-10-07,,,,Active
C0103,2024-12-21,,,28.0,Active
C0103,2025-01-18,2024-12-21,28.0,28.0,Active
C0104,2024-10-30,,,327.0,At Risk
C0104,2025-09-22,2024-10-30,327.0,327.0,At Risk
C0106,2026-02-08,,,129.0,At Risk
C0106,2026-06-17,2026-02-08,129.0,129.0,At Risk
C0108,2024-11-23,,,145.67,At Risk
C0108,2025-06-06,2024-11-23,195.0,145.67,At Risk
C0108,2025-11-18,2025-06-06,165.0,145.67,At Risk
C0108,2026-02-03,2025-11-18,77.0,145.67,At Risk
C0110,2025-08-01,,,292.0,At Risk
C0110,2026-05-20,2025-08-01,292.0,292.0,At Risk
C0111,2025-12-26,,,,Active
C0112,2024-12-07,,,440.0,At Risk
C0112,2026-02-20,2024-12-07,440.0,440.0,At Risk
C0113,2025-04-08,,,,Active
C0114,2026-05-31,,,,Active
C0118,2025-01-16,,,,Active
C0119,2025-12-14,,,92.0,At Risk
C0119,2025-12-28,2025-12-14,14.0,92.0,At Risk
C0119,2026-06-16,2025-12-28,170.0,92.0,At Risk
C0120,2024-09-24,,,251.0,At Risk
C0120,2025-06-02,2024-09-24,251.0,251.0,At Risk
C0121,2025-03-17,,,200.5,At Risk
C0121,2025-12-08,2025-03-17,266.0,200.5,At Risk
C0121,2026-04-22,2025-12-08,135.0,200.5,At Risk
C0123,2026-01-16,,,,Active
C0127,2025-12-05,,,,Active
C0129,2025-11-26,,,,Active
C0131,2025-11-13,,,,Active
C0134,2024-12-19,,,,Active
C0135,2025-03-12,,,312.0,At Risk
C0135,2026-01-18,2025-03-12,312.0,312.0,At Risk
C0137,2024-10-21,,,170.0,At Risk
C0137,2024-12-15,2024-10-21,55.0,170.0,At Risk
C0137,2025-09-26,2024-12-15,285.0,170.0,At Risk
C0139,2024-12-04,,,,Active
C0142,2025-08-26,,,28.0,Active
C0142,2025-09-23,2025-08-26,28.0,28.0,Active
C0143,2024-07-27,,,,Active
C0144,2025-10-17,,,,Active
C0145,2025-04-14,,,418.0,At Risk
C0145,2026-06-06,2025-04-14,418.0,418.0,At Risk
C0146,2025-03-27,,,118.33,At Risk
C0146,2025-06-06,2025-03-27,71.0,118.33,At Risk
C0146,2025-07-11,2025-06-06,35.0,118.33,At Risk
C0146,2026-03-17,2025-07-11,249.0,118.33,At Risk
C0148,2024-12-27,,,,Active
C0149,2025-08-20,,,,Active
C0150,2025-08-17,,,,Active
C0151,2026-07-11,,,,Active
C0152,2026-02-15,,,,Active
C0154,2024-08-20,,,540.0,At Risk
C0154,2026-02-11,2024-08-20,540.0,540.0,At Risk
C0156,2024-08-11,,,381.0,At Risk
C0156,2025-08-27,2024-08-11,381.0,381.0,At Risk
C0158,2025-10-12,,,,Active
C0159,2026-06-18,,,,Active
C0160,2026-03-11,,,,Active
C0163,2025-05-15,,,312.0,At Risk
C0163,2026-03-23,2025-05-15,312.0,312.0,At Risk
C0166,2024-07-19,,,455.0,At Risk
C0166,2025-10-17,2024-07-19,455.0,455.0,At Risk
C0168,2024-12-16,,,,Active
C0170,2025-07-10,,,,Active
C0171,2025-07-06,,,,Active
C0172,2024-09-07,,,8.0,Active
C0172,2024-09-15,2024-09-07,8.0,8.0,Active
C0174,2026-04-14,,,,Active
C0177,2025-07-13,,,,Active
C0178,2024-09-30,,,,Active
C0179,2025-07-08,,,129.0,At Risk
C0179,2026-03-02,2025-07-08,237.0,129.0,At Risk
C0179,2026-03-23,2026-03-02,21.0,129.0,At Risk
C0181,2024-12-07,,,,Active
C0183,2024-12-19,,,,Active
C0184,2025-11-23,,,,Active
C0185,2025-09-13,,,,Active
C0187,2025-04-30,,,155.0,At Risk
C0187,2025-10-02,2025-04-30,155.0,155.0,At Risk
C0188,2025-11-02,,,,Active
C0189,2025-05-24,,,,Active
C0190,2025-01-08,,,,Active
C0192,2024-11-29,,,,Active
C0193,2026-04-15,,,,Active
C0194,2026-02-17,,,,Active
C0195,2026-02-27,,,,Active
C0196,2024-11-23,,,165.0,At Risk
C0196,2025-05-05,2024-11-23,163.0,165.0,At Risk
C0196,2025-08-14,2025-05-05,101.0,165.0,At Risk
C0196,2026-04-02,2025-08-14,231.0,165.0,At Risk
C0197,2024-09-18,,,,Active
C0201,2024-09-24,,,98.0,At Risk
C0201,2025-01-16,2024-09-24,114.0,98.0,At Risk
C0201,2025-04-08,2025-01-16,82.0,98.0,At Risk
C0202,2024-12-20,,,256.0,At Risk
C0202,2025-11-15,2024-12-20,330.0,256.0,At Risk
C0202,2026-05-16,2025-11-15,182.0,256.0,At Risk
C0203,2025-03-18,,,,Active
C0204,2024-10-26,,,299.0,At Risk
C0204,2024-12-01,2024-10-26,36.0,299.0,At Risk
C0204,2026-06-16,2024-12-01,562.0,299.0,At Risk
C0205,2025-11-12,,,202.0,At Risk
C0205,2026-06-02,2025-11-12,202.0,202.0,At Risk
C0206,2026-03-09,,,28.0,Active
C0206,2026-04-06,2026-03-09,28.0,28.0,Active
C0207,2025-05-01,,,,Active
C0211,2025-06-26,,,,Active
C0212,2024-10-17,,,184.0,At Risk
C0212,2025-07-09,2024-10-17,265.0,184.0,At Risk
C0212,2025-09-19,2025-07-09,72.0,184.0,At Risk
C0212,2026-04-22,2025-09-19,215.0,184.0,At Risk
C0217,2025-11-11,,,,Active
C0220,2026-03-19,,,,Active
C0223,2024-10-11,,,277.5,At Risk
C0223,2026-02-13,2024-10-11,490.0,277.5,At Risk
C0223,2026-04-19,2026-02-13,65.0,277.5,At Risk
C0224,2024-08-03,,,206.0,At Risk
C0224,2024-12-28,2024-08-03,147.0,206.0,At Risk
C0224,2025-09-19,2024-12-28,265.0,206.0,At Risk
C0225,2025-10-24,,,163.0,At Risk
C0225,2026-04-05,2025-10-24,163.0,163.0,At Risk
C0226,2024-08-27,,,,Active
C0227,2025-03-23,,,,Active
C0230,2025-08-23,,,,Active
C0231,2025-08-10,,,,Active
C0233,2026-05-30,,,,Active
C0234,2026-04-21,,,,Active
C0235,2025-09-14,,,269.0,At Risk
C0235,2026-06-10,2025-09-14,269.0,269.0,At Risk
C0236,2025-07-12,,,,Active
C0238,2026-06-26,,,,Active
C0239,2026-04-14,,,,Active
C0241,2026-01-11,,,,Active
C0245,2025-05-16,,,,Active
C0247,2026-01-16,,,,Active
C0249,2024-08-02,,,175.75,At Risk
C0249,2024-09-06,2024-08-02,35.0,175.75,At Risk
C0249,2025-12-20,2024-09-06,470.0,175.75,At Risk
C0249,2026-03-16,2025-12-20,86.0,175.75,At Risk
C0249,2026-07-06,2026-03-16,112.0,175.75,At Risk
C0253,2024-11-08,,,,Active
C0256,2025-09-20,,,,Active
C0261,2025-08-27,,,,Active
C0263,2025-11-05,,,127.0,At Risk
C0263,2026-03-12,2025-11-05,127.0,127.0,At Risk
C0264,2025-03-03,,,,Active
C0265,2026-04-19,,,,Active
C0267,2024-11-29,,,365.0,At Risk
C0267,2025-11-29,2024-11-29,365.0,365.0,At Risk
C0268,2026-05-18,,,,Active
C0269,2025-05-26,,,,Active
C0270,2026-04-12,,,34.0,At Risk
C0270,2026-05-16,2026-04-12,34.0,34.0,At Risk
C0271,2024-08-01,,,14.0,Active
C0271,2024-08-15,2024-08-01,14.0,14.0,Active
C0273,2026-04-26,,,42.0,At Risk
C0273,2026-06-07,2026-04-26,42.0,42.0,At Risk
C0275,2025-06-21,,,,Active
C0277,2024-12-26,,,142.33,At Risk
C0277,2025-05-29,2024-12-26,154.0,142.33,At Risk
C0277,2025-09-27,2025-05-29,121.0,142.33,At Risk
C0277,2026-02-26,2025-09-27,152.0,142.33,At Risk
C0278,2025-06-29,,,,Active
C0280,2025-02-14,,,303.0,At Risk
C0280,2025-12-14,2025-02-14,303.0,303.0,At Risk
C0281,2025-01-13,,,,Active
C0284,2024-12-28,,,,Active
C0285,2025-10-29,,,,Active
C0286,2024-09-11,,,181.0,At Risk
C0286,2025-03-11,2024-09-11,181.0,181.0,At Risk
C0287,2024-08-24,,,184.67,At Risk
C0287,2026-02-01,2024-08-24,526.0,184.67,At Risk
C0287,2026-02-03,2026-02-01,2.0,184.67,At Risk
C0287,2026-03-01,2026-02-03,26.0,184.67,At Risk
C0288,2026-02-14,,,,Active
C0289,2025-04-05,,,348.0,At Risk
C0289,2026-03-19,2025-04-05,348.0,348.0,At Risk
C0290,2024-12-21,,,,Active
C0291,2024-11-25,,,,Active
C0294,2024-12-16,,,,Active
C0295,2024-07-30,,,,Active
C0297,2024-10-18,,,130.0,At Risk
C0297,2025-02-25,2024-10-18,130.0,130.0,At Risk
C0300,2024-10-04,,,176.0,At Risk
C0300,2025-03-29,2024-10-04,176.0,176.0,At Risk
C0302,2026-05-19,,,,Active
C0305,2026-05-16,,,,Active
C0306,2024-09-09,,,,Active
C0307,2024-10-09,,,479.0,At Risk
C0307,2026-01-31,2024-10-09,479.0,479.0,At Risk
C0308,2025-10-09,,,,Active
C0309,2025-08-07,,,85.0,At Risk
C0309,2025-08-31,2025-08-07,24.0,85.0,At Risk
C0309,2026-01-24,2025-08-31,146.0,85.0,At Risk
C0310,2024-11-23,,,348.0,At Risk
C0310,2025-11-06,2024-11-23,348.0,348.0,At Risk
C0311,2026-05-31,,,,Active
C0314,2024-09-10,,,32.0,At Risk
C0314,2024-10-12,2024-09-10,32.0,32.0,At Risk
C0316,2024-08-11,,,,Active
C0317,2024-12-24,,,68.0,At Risk
C0317,2025-03-02,2024-12-24,68.0,68.0,At Risk
C0318,2025-08-07,,,,Active
C0320,2025-07-10,,,,Active
C0322,2025-05-21,,,,Active
C0326,2025-07-12,,,,Active
C0327,2025-05-14,,,,Active
C0329,2025-01-28,,,,Active
C0330,2025-05-24,,,,Active
C0331,2024-12-24,,,,Active
C0332,2024-10-13,,,148.33,At Risk
C0332,2025-09-13,2024-10-13,335.0,148.33,At Risk
C0332,2025-10-25,2025-09-13,42.0,148.33,At Risk
C0332,2026-01-01,2025-10-25,68.0,148.33,At Risk
C0333,2025-08-12,,,,Active
C0337,2025-05-08,,,231.0,At Risk
C0337,2025-12-25,2025-05-08,231.0,231.0,At Risk
C0338,2024-09-19,,,,Active
C0339,2025-04-16,,,,Active
C0340,2024-09-06,,,,Active
C0342,2024-07-23,,,582.0,At Risk
C0342,2026-02-25,2024-07-23,582.0,582.0,At Risk
C0344,2024-11-10,,,,Active
C0345,2025-08-19,,,,Active
C0346,2024-08-18,,,87.0,At Risk
C0346,2024-09-02,2024-08-18,15.0,87.0,At Risk
C0346,2025-02-08,2024-09-02,159.0,87.0,At Risk
C0347,2025-02-28,,,103.0,At Risk
C0347,2025-06-11,2025-02-28,103.0,103.0,At Risk
C0348,2026-03-25,,,,Active
C0349,2024-11-14,,,141.0,At Risk
C0349,2025-05-28,2024-11-14,195.0,141.0,At Risk
C0349,2025-08-23,2025-05-28,87.0,141.0,At Risk
C0351,2026-01-16,,,29.0,Active
C0351,2026-02-22,2026-01-16,37.0,29.0,Active
C0351,2026-03-15,2026-02-22,21.0,29.0,Active
C0353,2026-03-24,,,,Active
C0354,2025-04-27,,,83.0,At Risk
C0354,2025-07-19,2025-04-27,83.0,83.0,At Risk
C0357,2025-01-17,,,430.0,At Risk
C0357,2026-03-23,2025-01-17,430.0,430.0,At Risk
C0358,2025-12-25,,,,Active
C0359,2025-07-19,,,,Active
C0360,2026-03-09,,,,Active
C0361,2024-09-19,,,542.0,At Risk
C0361,2026-03-15,2024-09-19,542.0,542.0,At Risk
C0362,2025-08-16,,,62.0,At Risk
C0362,2025-10-17,2025-08-16,62.0,62.0,At Risk
C0364,2025-04-13,,,,Active
C0365,2024-08-04,,,,Active
C0366,2025-02-06,,,228.0,At Risk
C0366,2026-02-28,2025-02-06,387.0,228.0,At Risk
C0366,2026-05-08,2026-02-28,69.0,228.0,At Risk
C0367,2025-09-23,,,,Active
C0370,2025-04-15,,,,Active
C0371,2024-12-03,,,125.0,At Risk
C0371,2025-06-10,2024-12-03,189.0,125.0,At Risk
C0371,2025-08-10,2025-06-10,61.0,125.0,At Risk
C0373,2026-04-15,,,,Active
C0375,2025-11-15,,,,Active
C0376,2025-07-01,,,,Active
C0378,2025-04-29,,,107.5,At Risk
C0378,2025-09-08,2025-04-29,132.0,107.5,At Risk
C0378,2026-02-25,2025-09-08,170.0,107.5,At Risk
C0378,2026-05-04,2026-02-25,68.0,107.5,At Risk
C0378,2026-07-03,2026-05-04,60.0,107.5,At Risk
C0379,2025-10-30,,,,Active
C0381,2026-01-08,,,,Active
C0382,2026-04-26,,,,Active
C0384,2025-03-17,,,345.0,At Risk
C0384,2026-02-25,2025-03-17,345.0,345.0,At Risk
C0385,2025-04-03,,,326.0,At Risk
C0385,2026-02-23,2025-04-03,326.0,326.0,At Risk
C0386,2025-04-16,,,145.0,At Risk
C0386,2025-09-08,2025-04-16,145.0,145.0,At Risk
C0390,2025-02-28,,,,Active
C0392,2026-01-18,,,,Active
C0393,2025-09-26,,,106.5,At Risk
C0393,2026-04-17,2025-09-26,203.0,106.5,At Risk
C0393,2026-04-27,2026-04-17,10.0,106.5,At Risk
C0394,2024-12-08,,,,Active
C0396,2025-05-29,,,,Active
C0397,2025-05-01,,,,Active
C0398,2024-08-25,,,,Active
C0402,2025-07-11,,,,Active
C0403,2025-06-12,,,,Active
C0405,2024-07-20,,,353.5,At Risk
C0405,2026-04-28,2024-07-20,647.0,353.5,At Risk
C0405,2026-06-27,2026-04-28,60.0,353.5,At Risk
C0406,2026-04-22,,,,Active
C0408,2024-10-30,,,464.0,At Risk
