revenue_month,revenue_category,customer_count,segment_revenue
2024-07,High,8,1169729.41
2024-07,Low,1,1141.71
2024-08,High,13,1448365.65
2024-08,Medium,1,7430.46
2024-08,Low,1,-58107.97
2024-09,High,10,1611528.67
2024-09,Low,1,-121973.58
2024-10,High,7,869097.38
2024-10,Medium,1,9211.37
2024-10,Low,1,4377.45
2024-11,High,10,1138976.47
2024-11,Medium,1,6213.85
2024-11,Low,1,-52865.0
2024-12,High,17,2159088.92
2025-01,High,12,1244559.03
2025-01,Medium,1,5700.81
2025-01,Low,2,6979.29
2025-02,High,8,699545.04
2025-03,High,11,784259.98
2025-04,High,9,874751.63
2025-04,Low,1,0.0
2025-05,High,17,1938161.89
2025-05,Medium,1,6420.83
2025-06,High,13,2058880.75
2025-06,Low,1,-17827.01
2025-07,High,8,1637606.1
2025-07,Low,1,2610.95
2025-08,High,17,3197563.7
2025-08,Low,1,3765.58
2025-09,High,12,1724966.19
2025-10,High,12,751140.6
2025-10,Low,1,-55593.57
2025-11,High,12,1395675.93
2025-11,Medium,1,9382.9
2025-11,Low,1,2369.06
2025-12,High,13,1196416.02
2026-01,High,6,539031.17
2026-01,Low,2,4881.18
2026-02,High,17,2814269.01
2026-02,Medium,1,9673.57
2026-02,Low,3,-17383.69
2026-03,High,9,1415296.11
2026-03,Low,2,1595.34
2026-04,High,17,2231434.36
2026-04,Low,2,-45394.73
2026-05,High,9,1480396.25
2026-06,High,6,666157.11
2026-06,Medium,1,5206.18
2026-06,Low,2,2910.31
2026-07,High,6,655480.96
