year,month,revenue,prev_year_revenue,yoy_growth_percent
2024,7,1532774.75,,
2024,8,1919439.33,,
2024,9,1307599.57,,
2024,10,727962.17,,
2024,11,1092325.32,,
2024,12,2412323.82,,
2025,1,1219819.4,,
2025,2,699545.04,,
2025,3,784259.96,,
2025,4,1578282.7,,
2025,5,1888073.73,,
2025,6,1691639.51,,
2025,7,1696831.49,1532774.75,10.7
2025,8,3318272.35,1919439.33,72.88
2025,9,1806823.92,1307599.57,38.18
2025,10,799527.02,727962.17,9.83
2025,11,1362132.48,1092325.32,24.7
2025,12,1369790.46,2412323.82,-43.22
2026,1,698348.95,1219819.4,-42.75
2026,2,2825871.58,699545.04,303.96
2026,3,1763443.24,784259.96,124.85
2026,4,1890623.15,1578282.7,19.79
2026,5,1618476.19,1888073.73,-14.28
2026,6,656461.41,1691639.51,-61.19
2026,7,655480.96,1696831.49,-61.37
