cohort_month,cohort_size,month_0_customers,month_1_customers,month_2_customers,month_3_customers,month_0_retention_percent,month_1_retention_percent,month_2_retention_percent,month_3_retention_percent
2023-03-01,2,0,0,0,0,0.0,0.0,0.0,0.0
2023-04-01,16,0,0,0,0,0.0,0.0,0.0,0.0
2023-05-01,18,0,0,0,0,0.0,0.0,0.0,0.0
2023-06-01,16,0,0,0,0,0.0,0.0,0.0,0.0
2023-07-01,10,0,0,0,0,0.0,0.0,0.0,0.0
2023-08-01,12,0,0,0,0,0.0,0.0,0.0,0.0
2023-09-01,18,0,0,0,0,0.0,0.0,0.0,0.0
2023-10-01,15,0,0,0,0,0.0,0.0,0.0,0.0
2023-11-01,15,0,0,0,0,0.0,0.0,0.0,0.0
2023-12-01,12,0,0,0,0,0.0,0.0,0.0,0.0
2024-01-01,16,0,0,0,0,0.0,0.0,0.0,0.0
2024-02-01,11,0,0,0,0,0.0,0.0,0.0,0.0
2024-03-01,13,0,0,0,0,0.0,0.0,0.0,0.0
2024-04-01,11,0,0,0,0,0.0,0.0,0.0,0.0
2024-05-01,17,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-01,11,0,1,0,1,0.0,9.09,0.0,9.09
2024-07-01,15,1,0,1,0,6.67,0.0,6.67,0.0
2024-08-01,13,1,1,0,0,7.69,7.69,0.0,0.0
2024-09-01,13,2,1,0,0,15.38,7.69,0.0,0.0
2024-10-01,13,1,1,0,0,7.69,7.69,0.0,0.0
2024-11-01,12,1,1,0,0,8.33,8.33,0.0,0.0
2024-12-01,15,2,0,0,1,13.33,0.0,0.0,6.67
2025-01-01,19,1,0,0,0,5.26,0.0,0.0,0.0
2025-02-01,13,0,0,0,1,0.0,0.0,0.0,7.69
2025-03-01,16,0,0,0,1,0.0,0.0,0.0,6.25
2025-04-01,11,0,0,0,0,0.0,0.0,0.0,0.0
2025-05-01,8,1,1,1,0,12.5,12.5,12.5,0.0
2025-06-01,9,0,0,0,1,0.0,0.0,0.0,11.11
2025-07-01,11,0,0,1,0,0.0,0.0,9.09,0.0
2025-08-01,9,0,1,0,1,0.0,11.11,0.0,11.11
2025-09-01,11,1,1,0,0,9.09,9.09,0.0,0.0
2025-10-01,10,0,1,0,0,0.0,10.0,0.0,0.0
2025-11-01,15,0,1,0,0,0.0,6.67,0.0,0.0
2025-12-01,10,1,0,1,0,10.0,0.0,10.0,0.0
2026-01-01,16,1,1,0,0,6.25,6.25,0.0,0.0
2026-02-01,18,2,0,1,1,11.11,0.0,5.56,5.56
2026-03-01,11,0,2,0,1,0.0,18.18,0.0,9.09
2026-04-01,11,3,1,0,0,27.27,9.09,0.0,0.0
2026-05-01,6,0,0,1,0,0.0,0.0,16.67,0.0
2026-06-01,2,0,0,0,0,0.0,0.0,0.0,0.0
