product_a,product_b,times_bought_together
Adidas Jeans,Apple Laptop,1
Adidas Jeans,Dell Mouse,1
Adidas Jeans,Godrej Curtain,1
Adidas Jeans,Godrej Lamp,1
Adidas Jeans,Godrej Table,1
Adidas Jeans,Lenovo Camera,1
Adidas Jeans,Lg Mouse,1
Adidas Jeans,Oxford Mathematics,1
Adidas Jeans,Packt Programming,1
Adidas Shirt,Adidas Sweater,1
Adidas Shirt,Apple Keyboard,1
Adidas Shirt,Levis Shirt,1
Adidas Shirt,Mcgraw Biography,1
Adidas Shirt,Packt Programming,1
Adidas Shirt,Prestige Table,1
Adidas Shirt,Puma T-Shirt,1
Adidas Shirt,Sony Tablet,1
Adidas Sweater,Milton Fan,1
Adidas T-Shirt,Adidas Jacket,1
Adidas T-Shirt,Adidas Jacket,1
Adidas T-Shirt,Adidas Jacket,1
Adidas T-Shirt,Adidas T-Shirt,1
Adidas T-Shirt,Apple Keyboard,1
Adidas T-Shirt,Apple Laptop,1
Adidas T-Shirt,H&M Jacket,1
Adidas T-Shirt,H&M Jacket,1
Adidas T-Shirt,Ikea Lamp,1
Adidas T-Shirt,Ikea Sofa,1
Adidas T-Shirt,Levis T-Shirt,1
Adidas T-Shirt,Mcgraw History,1
Adidas T-Shirt,Milton Lamp,1
Adidas T-Shirt,Oxford Science,1
Adidas T-Shirt,Packt Programming,1
Adidas T-Shirt,Prestige Sofa,1
Adidas T-Shirt,Prestige Sofa,1
Adidas T-Shirt,Prestige Table,1
Adidas T-Shirt,Puma Shoes,1
Adidas T-Shirt,Puma Sweater,1
Adidas T-Shirt,Samsung Speaker,1
Adidas T-Shirt,Sony Tablet,1
Apple Laptop,H&M Jacket,1
Apple Laptop,Oreilly Mathematics,1
Apple Laptop,Oxford Mathematics,1
Apple Monitor,Adidas Shirt,1
Apple Monitor,Apple Keyboard,1
Apple Monitor,H&M Shoes,1
Apple Monitor,Ikea Chair,1
Apple Monitor,Lg Speaker,1
Apple Monitor,Mcgraw Biography,1
Apple Monitor,Nike T-Shirt,1
